Task 4 validation-only: teacher=resnet34_cifar10_fp32_best.pth SHA256=ed19ff5fa087…

=== task4_tlambda_stage1_t4_l0p1_retry1 seed 42 | T=4, lambda=0.1 | 6 epochs ===

T4 S42 1/6:   0%|          | 0/352 [00:00<?, ?it/s]
T4 S42 1/6:   0%|          | 1/352 [00:08<50:13,  8.58s/it]
T4 S42 3/6:  74%|███████▎  | 259/352 [00:08<00:03, 29.93it/s]
T4 S42 3/6:  75%|███████▍  | 263/352 [00:09<00:02, 29.97it/s]
T4 S42 3/6:  76%|███████▌  | 267/352 [00:09<00:02, 29.99it/s]
T4 S42 3/6:  77%|███████▋  | 271/352 [00:09<00:02, 30.01it/s]
T4 S42 3/6:  78%|███████▊  | 275/352 [00:09<00:02, 29.96it/s]
T4 S42 3/6:  79%|███████▉  | 278/352 [00:09<00:02, 29.95it/s]
T4 S42 3/6:  80%|███████▉  | 281/352 [00:09<00:02, 29.96it/s]
T4 S42 3/6:  81%|████████  | 284/352 [00:09<00:02, 29.96it/s]
T4 S42 3/6:  82%|████████▏ | 288/352 [00:09<00:02, 29.99it/s]
T4 S42 3/6:  83%|████████▎ | 291/352 [00:10<00:02, 29.93it/s]
T4 S42 3/6:  84%|████████▎ | 294/352 [00:10<00:01, 29.95it/s]
T4 S42 3/6:  85%|████████▍ | 298/352 [00:10<00:01, 29.98it/s]
T4 S42 3/6:  86%|████████▌ | 302/352 [00:10<00:01, 30.00it/s]
T4 S42 3/6:  87%|████████▋ | 305/352 [00:10<00:01, 29.92it/s]
T4 S42 3/6:  88%|████████▊ | 309/352 [00:10<00:01, 29.95it/s]
T4 S42 3/6:  89%|████████▊ | 312/352 [00:10<00:01, 29.93it/s]
T4 S42 3/6:  89%|████████▉ | 315/352 [00:10<00:01, 29.94it/s]
T4 S42 3/6:  91%|█████████ | 319/352 [00:10<00:01, 29.88it/s]
T4 S42 3/6:  92%|█████████▏| 323/352 [00:11<00:00, 29.93it/s]
T4 S42 3/6:  93%|█████████▎| 327/352 [00:11<00:00, 29.96it/s]
T4 S42 3/6:  94%|█████████▍| 331/352 [00:11<00:00, 29.98it/s]
T4 S42 3/6:  95%|█████████▍| 334/352 [00:11<00:00, 29.91it/s]
