Task 4 validation-only: teacher=resnet34_cifar10_fp32_best.pth SHA256=ed19ff5fa087…

=== task4_tlambda_integrity-control_t4_l0 seed 42 | T=4, lambda=0 | 30 epochs ===

T4 S42 1/30:   0%|          | 0/352 [00:00<?, ?it/s]
T4 S42 1/30:   0%|          | 1/352 [00:01<08:24,  1.44s/it]
T4 S42 3/30:   4%|▎         | 13/352 [00:00<00:17, 19.80it/s]
T4 S42 3/30:   5%|▍         | 16/352 [00:00<00:15, 21.61it/s]
T4 S42 3/30:   5%|▌         | 19/352 [00:00<00:14, 23.44it/s]
T4 S42 3/30:   6%|▋         | 22/352 [00:01<00:13, 24.78it/s]
T4 S42 3/30:   7%|▋         | 25/352 [00:01<00:12, 25.59it/s]
T4 S42 3/30:   8%|▊         | 28/352 [00:01<00:12, 26.33it/s]
T4 S42 3/30:   9%|▉         | 31/352 [00:01<00:11, 26.75it/s]
T4 S42 3/30:  10%|▉         | 34/352 [00:01<00:11, 27.16it/s]
T4 S42 3/30:  11%|█         | 37/352 [00:01<00:11, 27.45it/s]
T4 S42 3/30:  11%|█▏        | 40/352 [00:01<00:11, 27.67it/s]
T4 S42 3/30:  12%|█▏        | 43/352 [00:01<00:11, 27.78it/s]
T4 S42 3/30:  13%|█▎        | 46/352 [00:01<00:10, 27.88it/s]
T4 S42 3/30:  14%|█▍        | 49/352 [00:02<00:10, 27.97it/s]
T4 S42 3/30:  15%|█▍        | 52/352 [00:02<00:10, 28.01it/s]
T4 S42 3/30:  16%|█▌        | 55/352 [00:02<00:10, 27.99it/s]
T4 S42 3/30:  16%|█▋        | 58/352 [00:02<00:10, 28.07it/s]
T4 S42 3/30:  17%|█▋        | 61/352 [00:02<00:10, 28.11it/s]
T4 S42 3/30:  18%|█▊        | 64/352 [00:02<00:10, 28.08it/s]
T4 S42 3/30:  19%|█▉        | 67/352 [00:02<00:10, 28.14it/s]
T4 S42 3/30:  20%|█▉        | 70/352 [00:02<00:09, 28.20it/s]
T4 S42 3/30:  21%|██        | 73/352 [00:02<00:09, 28.22it/s]
T4 S42 3/30:  22%|██▏       | 76/352 [00:02<00:09, 28.13it/s]
T4 S42 3/30:  22%|██▏       | 79/352 [00:03<00:09, 28.09it/s]
T4 S42 3/30:  23%|██▎       | 82/352 [00:03<00:09, 28.14it/s]
T4 S42 3/30:  24%|██▍       | 85/352 [00:03<00:09, 28.13it/s]
T4 S42 3/30:  25%|██▌       | 88/352 [00:03<00:09, 28.09it/s]
T4 S42 3/30:  26%|██▌       | 91/352 [00:03<00:09, 28.04it/s]
T4 S42 3/30:  27%|██▋       | 94/352 [00:03<00:09, 28.11it/s]
T4 S42 3/30:  28%|██▊       | 97/352 [00:03<00:09, 28.15it/s]
T4 S42 3/30:  28%|██▊       | 100/352 [00:03<00:08, 28.17it/s]
T4 S42 3/30:  29%|██▉       | 103/352 [00:03<00:08, 28.20it/s]
T4 S42 3/30:  30%|███       | 106/352 [00:04<00:08, 28.21it/s]
T4 S42 3/30:  31%|███       | 109/352 [00:04<00:08, 28.08it/s]
T4 S42 3/30:  32%|███▏      | 112/352 [00:04<00:08, 27.95it/s]
T4 S42 3/30:  33%|███▎      | 115/352 [00:04<00:08, 28.25it/s]
T4 S42 3/30:  34%|███▎      | 118/352 [00:04<00:08, 28.69it/s]
T4 S42 3/30:  34%|███▍      | 121/352 [00:04<00:07, 29.04it/s]
T4 S42 3/30:  35%|███▌      | 124/352 [00:04<00:07, 29.30it/s]
T4 S42 3/30:  36%|███▌      | 127/352 [00:04<00:07, 29.45it/s]
T4 S42 3/30:  37%|███▋      | 130/352 [00:04<00:07, 29.59it/s]
T4 S42 3/30:  38%|███▊      | 133/352 [00:04<00:07, 29.70it/s]
T4 S42 3/30:  39%|███▊      | 136/352 [00:05<00:07, 29.78it/s]
T4 S42 3/30:  39%|███▉      | 139/352 [00:05<00:07, 29.83it/s]
T4 S42 3/30:  40%|████      | 142/352 [00:05<00:07, 29.86it/s]
T4 S42 3/30:  41%|████      | 145/352 [00:05<00:06, 29.87it/s]
T4 S42 3/30:  42%|████▏     | 148/352 [00:05<00:06, 29.89it/s]
T4 S42 3/30:  43%|████▎     | 151/352 [00:05<00:06, 29.90it/s]
T4 S42 3/30:  44%|████▍     | 154/352 [00:05<00:06, 29.88it/s]
T4 S42 3/30:  45%|████▍     | 157/352 [00:05<00:06, 29.85it/s]
T4 S42 3/30:  45%|████▌     | 160/352 [00:05<00:06, 29.83it/s]
T4 S42 3/30:  46%|████▋     | 163/352 [00:05<00:06, 29.85it/s]
T4 S42 3/30:  47%|████▋     | 166/352 [00:06<00:06, 29.83it/s]
T4 S42 3/30:  48%|████▊     | 169/352 [00:06<00:06, 29.87it/s]
